,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
554,67,female,3,own,little,moderate,1199,9,education
555,22,male,2,own,little,moderate,1331,12,radio/TV
556,28,female,2,own,moderate,moderate,2278,18,car
557,29,female,2,own,NA,NA,5003,21,car
558,27,male,2,own,little,little,3552,24,furniture/equipment
559,31,male,1,own,little,moderate,1928,18,furniture/equipment
560,49,male,2,free,NA,little,2964,24,car
561,24,male,1,rent,little,little,1546,24,radio/TV
562,29,female,2,own,little,rich,683,6,radio/TV
563,37,male,2,free,NA,moderate,12389,36,car
564,37,male,3,own,NA,moderate,4712,24,business
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV
566,36,male,2,own,little,little,1372,12,car
567,34,male,2,own,rich,NA,2578,24,radio/TV
568,41,male,2,own,NA,moderate,3979,48,radio/TV
569,31,female,2,own,little,little,6758,48,radio/TV
570,23,female,1,rent,little,little,3234,24,furniture/equipment
571,38,male,2,own,little,NA,5954,30,radio/TV
572,26,female,3,rent,NA,NA,5433,24,car
573,22,female,1,own,little,little,806,15,business
574,27,male,1,own,little,moderate,1082,9,radio/TV
575,24,female,2,own,little,NA,2788,15,furniture/equipment
576,27,female,2,own,little,moderate,2930,12,radio/TV
577,33,female,2,own,NA,NA,1927,24,education
578,27,male,2,own,little,moderate,2820,36,car
579,27,male,1,own,little,NA,937,24,education
580,30,male,2,own,little,moderate,1056,18,car
581,49,male,1,own,little,moderate,3124,12,car
582,26,female,2,rent,little,NA,1388,9,furniture/equipment
583,33,male,1,rent,little,moderate,2384,36,repairs
584,52,female,3,free,NA,NA,2133,12,car
585,20,female,2,rent,little,little,2039,18,furniture/equipment
586,36,male,2,rent,little,little,2799,9,car
587,21,male,1,own,little,little,1289,12,furniture/equipment
588,47,male,1,own,little,little,1217,18,domestic appliances
589,60,male,2,own,little,little,2246,12,furniture/equipment
590,58,female,1,own,little,little,385,12,radio/TV
591,42,female,2,rent,NA,moderate,1965,24,car
592,36,female,1,own,rich,NA,1572,21,business
593,20,female,1,rent,little,moderate,2718,24,car
594,40,male,3,own,NA,little,1358,24,vacation/others
595,32,female,1,own,moderate,moderate,931,6,car
596,23,female,2,rent,little,little,1442,24,car
597,36,male,1,own,little,moderate,4241,24,business
598,31,male,2,own,little,NA,2775,18,car
599,32,male,2,free,little,NA,3863,24,business
600,45,female,2,own,little,moderate,2329,7,radio/TV
601,30,female,2,own,little,moderate,918,9,furniture/equipment
602,34,female,1,free,little,moderate,1837,24,education
603,28,female,3,own,little,NA,3349,36,furniture/equipment
604,23,female,2,own,little,rich,1275,10,furniture/equipment
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment
606,74,male,3,own,little,NA,4526,24,business
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
608,33,male,2,own,little,NA,2051,18,radio/TV
609,45,male,2,free,NA,NA,1300,15,car
610,22,female,2,own,moderate,little,741,12,domestic appliances
611,48,female,1,free,moderate,rich,1240,10,car
612,29,female,2,own,rich,little,3357,21,radio/TV
613,22,female,2,rent,little,little,3632,24,car
614,22,female,2,own,little,NA,1808,18,furniture/equipment
615,48,male,3,own,NA,moderate,12204,48,business
616,27,male,3,free,NA,moderate,9157,60,radio/TV
617,37,male,2,rent,little,little,3676,6,car
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment
619,49,male,1,own,little,NA,640,12,car
620,27,male,2,own,little,moderate,3652,21,business
621,32,male,2,own,little,NA,1530,18,car
622,38,male,2,own,NA,NA,3914,48,business
623,22,female,2,rent,little,little,1858,12,furniture/equipment
624,65,male,2,free,little,little,2600,18,radio/TV
625,35,male,2,own,NA,NA,1979,15,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
627,29,male,2,own,moderate,moderate,1437,9,car
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment
629,64,male,1,own,NA,NA,3832,9,education
630,28,female,2,own,little,little,3660,24,radio/TV
631,44,male,2,own,little,little,1553,18,furniture/equipment
632,23,male,2,own,NA,moderate,1444,15,radio/TV
633,19,female,2,rent,little,NA,1980,9,furniture/equipment
634,25,female,1,own,little,moderate,1355,24,car
635,47,male,2,own,little,NA,1393,12,education
636,28,female,2,own,quite rich,NA,1376,24,radio/TV
637,21,male,2,own,little,NA,15653,60,radio/TV
638,34,female,2,own,little,NA,1493,12,radio/TV
639,26,male,2,own,little,little,4370,42,radio/TV
640,27,female,0,own,little,little,750,18,education
641,38,male,1,own,little,moderate,1308,15,repairs
642,40,male,3,own,moderate,NA,4623,15,education
643,33,male,2,own,little,NA,1851,24,radio/TV
644,32,male,3,own,little,little,1880,18,radio/TV
645,27,male,2,rent,NA,NA,7980,36,business
646,32,male,2,own,little,little,4583,30,furniture/equipment
647,26,female,2,own,quite rich,NA,1386,12,car
648,38,male,2,free,little,rich,947,24,car
649,40,male,1,rent,little,little,684,12,education
650,50,male,3,free,little,little,7476,48,education
651,37,male,1,own,little,moderate,1922,12,furniture/equipment
652,45,male,2,own,little,little,2303,24,car
653,42,male,3,own,moderate,moderate,8086,36,car
654,35,male,2,own,little,NA,2346,24,car
655,22,male,2,free,little,little,3973,14,car
656,41,male,1,own,little,moderate,888,12,car
657,37,male,2,own,NA,NA,10222,48,radio/TV
658,28,female,2,own,little,moderate,4221,30,business
659,41,male,2,own,little,moderate,6361,18,furniture/equipment
660,23,male,2,rent,little,rich,1297,12,radio/TV
661,23,male,2,own,NA,little,900,12,car
662,50,male,2,own,little,NA,2241,21,furniture/equipment
663,35,male,3,own,little,moderate,1050,6,furniture/equipment
664,50,female,1,own,little,rich,1047,6,education
665,27,male,3,own,little,NA,6314,24,vacation/others
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment
667,27,female,2,own,little,NA,3609,48,business
668,43,male,2,rent,little,little,4843,12,car
669,47,male,2,own,little,rich,3017,30,radio/TV
670,27,male,1,own,moderate,NA,4139,24,business
671,31,male,2,own,moderate,NA,5742,36,business
672,42,male,3,own,little,NA,10366,60,car
673,24,male,2,own,quite rich,NA,2080,6,car
674,41,male,1,own,quite rich,NA,2580,21,business
675,26,female,3,rent,little,NA,4530,30,radio/TV
676,33,male,2,own,little,NA,5150,24,furniture/equipment
677,24,male,2,own,moderate,moderate,5595,72,radio/TV
678,64,male,1,rent,little,little,2384,24,radio/TV
679,26,female,2,own,little,NA,1453,18,radio/TV
680,56,female,2,own,little,NA,1538,6,education
681,37,male,2,free,NA,NA,2279,12,radio/TV
682,33,male,2,own,little,NA,1478,15,radio/TV
683,47,male,2,free,little,NA,5103,24,radio/TV
684,31,male,1,own,moderate,moderate,9857,36,business
685,34,male,2,free,NA,NA,6527,60,car
686,27,male,2,own,NA,rich,1347,10,radio/TV
687,30,male,2,free,moderate,moderate,2862,36,car
688,35,male,2,own,moderate,NA,2753,9,radio/TV
689,31,male,2,own,rich,little,3651,12,car
690,25,male,2,own,little,little,975,15,furniture/equipment
691,25,female,1,own,moderate,moderate,2631,15,repairs
692,29,male,2,own,moderate,moderate,2896,24,radio/TV
693,44,male,1,own,NA,little,4716,6,car
694,28,male,2,own,little,NA,2284,24,radio/TV
695,50,male,2,rent,quite rich,NA,1236,6,car
696,29,male,2,own,little,moderate,1103,12,radio/TV
697,38,female,0,own,little,NA,926,12,car
698,24,male,2,own,little,NA,1800,18,radio/TV
699,40,male,3,rent,little,rich,1905,15,education
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment
701,46,male,2,free,little,little,6331,48,car
702,47,female,2,free,moderate,rich,1377,24,radio/TV
703,41,male,2,own,moderate,moderate,2503,30,business
704,32,female,2,own,little,moderate,2528,27,business
705,35,female,2,free,quite rich,NA,5324,15,car
706,24,male,2,own,moderate,moderate,6560,48,car
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment
708,25,female,2,own,little,moderate,1206,9,radio/TV
709,37,male,1,own,little,moderate,2118,9,radio/TV
710,32,male,3,own,quite rich,NA,629,18,radio/TV
711,35,female,2,free,little,little,1198,6,education
712,46,male,3,own,NA,NA,2476,21,car
713,25,male,1,own,little,little,1138,9,radio/TV
714,27,male,3,own,little,moderate,14027,60,car
715,63,male,2,own,NA,NA,7596,30,car
716,40,male,2,own,NA,NA,3077,30,radio/TV
717,32,male,3,free,little,NA,1505,18,radio/TV
718,31,male,2,own,NA,rich,3148,24,radio/TV
719,31,male,2,own,moderate,moderate,6148,20,car
720,34,male,3,own,little,rich,1337,9,radio/TV
721,24,female,2,rent,rich,moderate,433,6,education
722,24,female,1,own,little,little,1228,12,car
723,66,female,1,own,quite rich,moderate,790,9,radio/TV
724,21,female,2,rent,little,NA,2570,27,car
725,41,female,1,own,rich,NA,250,6,car
726,47,male,1,own,quite rich,NA,1316,15,radio/TV
727,25,female,2,rent,little,little,1882,18,radio/TV
728,59,female,2,rent,little,moderate,6416,48,business
729,36,male,2,own,rich,rich,1275,24,business
730,33,male,2,own,little,moderate,6403,24,radio/TV
731,21,male,1,rent,little,little,1987,24,radio/TV
732,44,female,1,own,little,moderate,760,8,radio/TV
733,28,female,2,rent,rich,NA,2603,24,car
734,37,female,2,own,little,NA,3380,4,car
735,29,female,0,own,NA,moderate,3990,36,domestic appliances
736,23,female,3,rent,little,moderate,11560,24,car
737,35,male,1,own,moderate,little,4380,18,car
738,45,male,3,own,little,NA,6761,6,car
739,26,female,1,rent,moderate,moderate,4280,30,business
740,32,male,2,own,moderate,little,2325,24,car
741,23,male,1,own,little,moderate,1048,10,radio/TV
742,41,male,2,own,NA,NA,3160,21,radio/TV
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment
744,30,male,3,own,NA,little,14179,39,furniture/equipment
745,28,male,1,own,little,little,1797,13,business
746,23,female,2,rent,little,little,2511,15,car
747,37,female,1,own,little,little,1274,12,car
748,26,male,2,own,NA,NA,5248,21,car
749,33,male,2,own,little,NA,3029,15,car
750,49,female,2,own,little,little,428,6,furniture/equipment
751,23,female,1,own,little,little,976,18,car
752,23,female,1,rent,moderate,moderate,841,12,business
753,25,female,2,own,little,NA,5771,30,radio/TV
754,55,male,2,free,rich,NA,1555,12,repairs
755,32,female,2,rent,NA,little,1285,24,car
756,74,male,0,own,little,rich,1299,6,car
757,39,male,2,free,NA,rich,1271,15,radio/TV
758,31,male,2,own,little,NA,1393,24,car
759,35,male,2,own,little,little,691,12,car
760,59,female,2,own,NA,NA,5045,15,car
761,24,female,2,rent,little,little,2124,18,furniture/equipment
762,24,male,1,own,little,little,2214,12,radio/TV
763,30,male,3,free,NA,NA,12680,21,car
764,27,male,2,own,moderate,NA,2463,24,car
765,40,male,1,own,little,moderate,1155,12,radio/TV
766,31,male,1,own,little,little,3108,30,furniture/equipment
767,31,female,2,rent,NA,NA,2901,10,car
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment
769,63,male,1,own,little,NA,1655,12,radio/TV
770,26,female,2,rent,NA,little,2812,24,car
771,25,female,3,own,little,little,8065,36,education
772,36,male,3,own,little,NA,3275,21,car
773,52,male,2,own,moderate,NA,2223,24,radio/TV
774,66,male,0,free,quite rich,rich,1480,12,car
775,25,female,2,rent,NA,little,1371,24,car
776,37,male,2,own,little,NA,3535,36,car
777,25,female,2,own,little,little,3509,18,radio/TV
778,38,male,3,own,rich,NA,5711,36,car
779,67,female,2,own,little,moderate,3872,18,repairs
780,25,male,2,own,little,moderate,4933,39,radio/TV
781,60,male,2,own,rich,NA,1940,24,car
782,31,male,1,own,little,moderate,1410,12,education
783,23,female,1,own,moderate,moderate,836,12,car
784,60,male,3,own,NA,moderate,6468,20,car
785,35,male,1,own,rich,moderate,1941,18,business
786,40,male,2,own,quite rich,NA,2675,22,radio/TV
787,38,male,2,own,NA,NA,2751,48,car
788,50,male,2,free,little,moderate,6224,48,education
789,27,male,2,own,little,little,5998,40,education
790,39,female,2,own,little,moderate,1188,21,business
791,41,male,3,own,NA,NA,6313,24,car
792,27,male,2,own,NA,NA,1221,6,furniture/equipment
793,51,male,2,free,little,rich,2892,24,furniture/equipment
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment
796,51,male,2,free,NA,little,7511,18,car
797,22,female,1,rent,little,NA,1258,12,furniture/equipment
798,54,male,2,own,NA,NA,717,24,car
799,35,male,0,own,NA,moderate,1549,9,car
800,54,male,2,free,little,NA,1597,24,education
801,48,female,1,rent,little,moderate,1795,18,radio/TV
802,24,female,2,own,little,little,4272,20,furniture/equipment
803,35,male,2,own,NA,NA,976,12,radio/TV
804,24,female,0,rent,NA,moderate,7472,12,car
805,24,male,2,own,little,little,9271,36,car
806,26,male,1,own,little,moderate,590,6,radio/TV
807,65,male,2,own,NA,NA,930,12,radio/TV
808,55,male,3,free,little,moderate,9283,42,car
809,26,female,0,rent,little,moderate,1778,15,car
810,26,male,2,own,little,moderate,907,8,business
811,28,male,1,own,little,moderate,484,6,radio/TV
812,24,male,2,own,little,little,9629,36,car
813,54,male,2,own,little,little,3051,48,domestic appliances
814,46,male,2,free,little,little,3931,48,car
815,54,female,2,rent,little,moderate,7432,36,car
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances
817,24,female,2,rent,little,NA,1554,6,radio/TV
818,43,male,3,own,little,little,15857,36,vacation/others
819,26,male,2,own,little,little,1345,18,radio/TV
820,27,male,2,own,little,NA,1101,12,car
821,24,male,2,own,little,rich,3016,12,radio/TV
822,41,male,2,own,little,little,2712,36,furniture/equipment
823,47,male,1,own,little,little,731,8,car
824,35,male,3,own,little,NA,3780,18,furniture/equipment
825,30,male,2,own,little,little,1602,21,car
826,33,female,2,rent,little,little,3966,18,car
827,36,male,2,own,little,NA,4165,18,business
828,47,male,2,free,NA,little,8335,36,car
829,38,male,2,free,NA,moderate,6681,48,business
830,44,male,2,own,quite rich,NA,2375,24,business
831,23,female,2,rent,little,little,1216,18,car
832,29,male,2,rent,little,little,11816,45,business
833,42,female,2,own,NA,moderate,5084,24,radio/TV
834,25,female,1,own,little,rich,2327,15,radio/TV
835,48,male,2,own,little,little,1082,12,car
836,21,female,2,own,NA,NA,886,12,radio/TV
837,23,female,1,rent,little,NA,601,4,furniture/equipment
838,63,male,2,own,little,little,2957,24,car
839,46,male,2,own,little,NA,2611,24,radio/TV
840,29,male,2,own,little,little,5179,36,furniture/equipment
841,28,male,1,own,little,NA,2993,21,car
842,23,female,2,own,little,NA,1943,18,repairs
843,50,male,2,own,little,NA,1559,24,business
844,47,male,2,own,little,NA,3422,18,furniture/equipment
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment
846,68,male,2,rent,NA,NA,6761,18,car
847,28,male,2,own,little,NA,1249,24,car
848,59,male,2,own,little,little,1364,9,radio/TV
849,57,male,1,own,little,little,709,12,radio/TV
850,33,male,2,rent,little,little,2235,20,car
851,43,male,2,own,NA,NA,4042,24,car
852,35,male,2,free,little,NA,1471,15,radio/TV
853,32,male,1,free,little,little,1442,18,car
854,45,male,2,own,little,NA,10875,36,car
855,33,male,2,own,moderate,NA,1474,24,car
856,40,female,2,own,NA,NA,894,10,education
857,28,male,2,free,little,NA,3343,15,furniture/equipment
858,29,female,2,own,little,little,3959,15,car
859,26,male,2,rent,moderate,NA,3577,9,car
860,27,male,2,own,rich,NA,5804,24,car
861,28,male,2,own,little,NA,2169,18,business
862,35,female,2,own,little,little,2439,24,radio/TV
863,32,male,1,own,rich,NA,4526,27,furniture/equipment
864,25,male,1,rent,little,NA,2210,10,furniture/equipment
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment
866,27,female,2,own,little,little,2389,18,radio/TV
867,42,male,2,own,little,NA,3331,12,furniture/equipment
868,37,male,2,own,NA,NA,7409,36,business
869,24,female,2,rent,little,little,652,12,furniture/equipment
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment
871,46,male,2,own,little,rich,1343,6,car
872,26,male,2,own,moderate,little,1382,24,business
873,24,female,2,own,NA,NA,874,15,domestic appliances
874,29,male,1,own,little,little,3590,12,furniture/equipment
875,40,female,2,own,rich,moderate,1322,11,car
876,36,male,3,free,little,little,1940,18,radio/TV
877,28,male,2,own,little,NA,3595,36,radio/TV
878,27,male,3,free,little,little,1422,9,car
879,36,male,2,own,NA,NA,6742,30,radio/TV
880,38,male,3,own,little,NA,7814,24,car
881,48,male,2,free,NA,NA,9277,24,car
882,36,male,2,own,NA,moderate,2181,30,car
883,65,female,0,own,little,NA,1098,18,radio/TV
884,43,male,2,own,little,moderate,4057,24,furniture/equipment
885,53,female,2,own,little,little,795,12,education
886,34,male,2,own,NA,moderate,2825,24,business
887,23,male,2,own,little,moderate,15672,48,business
888,34,male,3,own,little,NA,6614,36,car
889,40,male,2,rent,NA,NA,7824,28,car
890,43,male,3,own,little,little,2442,27,business
891,46,male,2,own,little,NA,1829,15,radio/TV
892,38,male,1,own,little,little,2171,12,car
893,34,male,2,own,little,moderate,5800,36,car
894,29,male,2,own,NA,NA,1169,18,radio/TV
895,31,male,3,own,NA,NA,8947,36,car
896,28,female,3,rent,little,little,2606,21,radio/TV
897,35,female,2,own,rich,NA,1592,12,furniture/equipment
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment
899,42,male,2,own,little,little,4153,18,furniture/equipment
900,43,male,2,rent,little,little,2625,16,car
901,44,male,2,own,NA,NA,3485,20,car
902,42,male,2,free,NA,NA,10477,36,car
903,40,male,2,rent,NA,NA,1386,15,radio/TV
904,36,male,3,own,little,NA,1278,24,radio/TV
905,20,male,3,rent,little,little,1107,12,radio/TV
906,24,male,1,own,NA,little,3763,21,car
907,27,male,2,own,NA,moderate,3711,36,education
908,46,female,1,own,little,NA,3594,15,car
909,33,female,1,own,NA,moderate,3195,9,car
910,34,female,2,own,little,NA,4454,36,radio/TV
911,25,female,1,own,little,moderate,4736,24,furniture/equipment
912,25,female,2,own,NA,moderate,2991,30,radio/TV
913,28,male,2,own,rich,NA,2142,11,business
914,31,male,2,rent,little,little,3161,24,business
915,32,female,3,own,little,moderate,18424,48,vacation/others
916,32,male,2,own,moderate,NA,2848,10,car
917,68,male,3,own,little,little,14896,6,car
918,33,male,2,own,moderate,little,2359,24,furniture/equipment
919,39,male,3,rent,little,little,3345,24,furniture/equipment
920,28,female,2,own,little,NA,1817,18,furniture/equipment
921,37,male,3,own,quite rich,NA,12749,48,radio/TV
922,22,female,2,rent,little,little,1366,9,radio/TV
923,30,male,2,rent,little,moderate,2002,12,car
924,55,male,2,own,little,little,6872,24,furniture/equipment
925,46,male,2,own,little,little,697,12,car
926,21,female,2,rent,little,little,1049,18,furniture/equipment
927,39,male,2,free,little,little,10297,48,car
928,58,male,2,own,NA,NA,1867,30,radio/TV
929,43,male,1,own,little,little,1344,12,car
930,24,male,1,own,little,little,1747,24,furniture/equipment
931,22,female,2,own,little,moderate,1670,9,radio/TV
932,30,male,2,own,little,NA,1224,9,car
933,42,male,2,own,quite rich,NA,522,12,radio/TV
934,23,female,2,own,little,little,1498,12,radio/TV
935,30,male,3,own,moderate,moderate,1919,30,radio/TV
936,28,female,1,own,little,rich,745,9,radio/TV
937,30,male,3,rent,little,moderate,2063,6,radio/TV
938,42,male,2,free,little,moderate,6288,60,education
939,46,male,3,own,NA,NA,6842,24,car
940,45,male,3,own,NA,NA,3527,12,car
941,31,male,1,own,little,NA,1546,10,car
942,31,male,2,own,NA,NA,929,24,furniture/equipment
943,42,male,1,own,little,NA,1455,4,car
944,46,female,2,rent,little,little,1845,15,furniture/equipment
945,30,female,2,own,quite rich,moderate,8358,48,car
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment
947,38,male,3,own,NA,NA,2859,12,car
948,43,male,1,own,little,NA,1533,18,furniture/equipment
949,31,male,2,own,moderate,NA,3621,24,radio/TV
950,40,male,0,own,little,moderate,3590,18,business
951,24,male,2,own,little,little,2145,36,business
952,28,female,2,rent,quite rich,moderate,4113,24,car
953,26,female,3,own,little,NA,10974,36,furniture/equipment
954,29,female,2,own,little,little,1893,12,car
955,57,female,3,rent,rich,little,1231,24,radio/TV
956,49,male,1,own,NA,rich,3656,30,radio/TV
957,37,male,1,own,little,moderate,1154,9,radio/TV
958,45,male,1,own,little,little,4006,28,car
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment
960,30,male,2,rent,little,NA,1740,6,radio/TV
961,47,male,2,own,little,moderate,2353,21,car
962,29,male,2,own,NA,NA,3556,15,car
963,35,male,2,own,quite rich,NA,2397,24,radio/TV
964,22,male,1,own,little,moderate,454,6,repairs
965,26,female,2,own,NA,moderate,1715,30,radio/TV
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV
967,54,female,3,rent,little,NA,3568,15,radio/TV
968,29,male,2,rent,NA,NA,7166,42,radio/TV
969,40,male,1,own,little,little,3939,11,car
970,22,male,2,own,moderate,moderate,1514,15,repairs
971,43,male,1,own,little,NA,7393,24,car
972,29,female,0,rent,little,little,1193,24,car
973,36,male,2,rent,little,little,7297,60,business
974,33,female,2,own,little,NA,2831,30,radio/TV
975,57,female,1,own,quite rich,rich,1258,24,radio/TV
976,64,female,2,own,little,moderate,753,6,radio/TV
977,42,male,2,own,NA,moderate,2427,18,business
978,47,male,1,own,little,NA,2538,24,car
979,25,male,2,rent,moderate,moderate,1264,15,car
980,49,male,2,own,little,moderate,8386,30,furniture/equipment
981,33,male,3,rent,little,NA,4844,48,business
982,28,female,3,own,moderate,rich,2923,21,car
983,26,male,2,own,little,little,8229,36,car
984,30,male,1,own,little,NA,2028,24,furniture/equipment
985,25,female,2,rent,little,little,1433,15,furniture/equipment
986,33,male,2,own,little,rich,6289,42,business
987,64,female,2,own,moderate,NA,1409,13,radio/TV
988,29,male,3,free,little,little,6579,24,car
989,48,male,1,own,little,moderate,1743,24,radio/TV
990,37,male,1,own,NA,NA,3565,12,education
991,34,male,1,own,moderate,NA,1569,15,radio/TV
992,23,male,1,rent,NA,little,1936,18,radio/TV
993,30,male,3,own,little,little,3959,36,furniture/equipment
994,50,male,2,own,NA,NA,2390,12,car
995,31,female,1,own,little,NA,1736,12,furniture/equipment
996,40,male,3,own,little,little,3857,30,car
997,38,male,2,own,little,NA,804,12,radio/TV
998,23,male,2,free,little,little,1845,45,radio/TV
999,27,male,2,own,moderate,moderate,4576,45,car
